feature,n_up,n_down,mean_up,mean_down,mean_diff,t_stat,p_ttest,u_stat,p_mannwhitney,cohens_d,significant
obi1,60,60,-0.0027694978071041566,0.021474151103371416,-0.024243648910475573,-0.4550886939430457,0.64988438354321,1749.0,0.7909661220080961,-0.08308744777939026,False
obi3,60,60,-0.0018195735746272942,0.0051679204903393615,-0.006987494064966656,-0.38690610366467904,0.6995253959173149,1778.5,0.9122334754774544,-0.07063906687119231,False
obi5,60,60,-0.0009514303076640314,0.0025665911230957294,-0.003518021430759761,-0.35990401213744944,0.7195651554977113,1780.0,0.9184799531998193,-0.0657091819947647,False
microprice_dev_ticks,60,60,-0.001384748903539427,0.010737075551689183,-0.01212182445522861,-0.4550886939427185,0.6498843835434447,1749.0,0.7909661220080961,-0.08308744777933053,False
bid_volume1,60,60,71.6,74.95,-3.3500000000000085,-0.6259100649621526,0.5326015060339091,1685.5,0.5495461004199302,-0.11427502051643161,False
ask_volume1,60,60,72.23333333333333,73.23333333333333,-1.0,-0.18292291002107666,0.8551724284503308,1756.0,0.819367770175407,-0.03339700136767716,False
d_bid_volume1,60,60,0.0,0.0,0.0,,,1800.0,1.0,,False
d_ask_volume1,60,60,0.0,0.0,0.0,,,1800.0,1.0,,False
spread_ticks,60,60,1.0,1.0,0.0,,,1800.0,1.0,,False
volume_delta_1,60,60,0.0,0.0,0.0,,,1800.0,1.0,,False
turnover_delta_1,60,60,0.0,0.0,0.0,,,1800.0,1.0,,False
mid_ret_1,60,60,0.0,0.0,0.0,,,1800.0,1.0,,False
obi_mean_1,60,60,-0.0027694978071041566,0.021474151103371416,-0.024243648910475573,-0.4550886939430457,0.64988438354321,1749.0,0.7909661220080961,-0.08308744777939026,False
obi_change_1,60,60,0.0,0.0,0.0,,,1800.0,1.0,,False
microprice_dev_mean_1,60,60,-0.001384748903539427,0.010737075551689183,-0.01212182445522861,-0.4550886939427185,0.6498843835434447,1749.0,0.7909661220080961,-0.08308744777933053,False
volatility_1,0,0,,,,,,,,,False
update_speed_1,0,0,,,,,,,,,False
volume_delta_2,60,60,2.0,1.0,1.0,inf,0.0,3600.0,1.0827834312358077e-27,,True
turnover_delta_2,60,60,4601.0,2300.5,2300.5,inf,0.0,3600.0,1.0827834312358077e-27,,True
mid_ret_2,60,60,0.0,0.0,0.0,,,1800.0,1.0,,False
obi_mean_2,60,60,-0.0027694978071041566,0.021474151103371416,-0.024243648910475573,-0.4550886939430457,0.64988438354321,1749.0,0.7909661220080961,-0.08308744777939026,False
obi_change_2,60,60,0.04739971464456349,0.025541339974583098,0.02185837466998039,0.3086608873695002,0.7581276105886009,1852.0,0.7869256969277942,0.05635351021061223,False
microprice_dev_mean_2,60,60,-0.001384748903539427,0.010737075551689183,-0.01212182445522861,-0.4550886939427185,0.6498843835434447,1749.0,0.7909661220080961,-0.08308744777933053,False
volatility_2,60,60,0.0,0.0,0.0,,,1800.0,1.0,,False
update_speed_2,60,60,4.0,4.0,0.0,,,1800.0,1.0,,False
volume_delta_3,60,60,2.0,1.0,1.0,inf,0.0,3600.0,1.0827834312358077e-27,,True
turnover_delta_3,60,60,4601.0,2300.5,2300.5,inf,0.0,3600.0,1.0827834312358077e-27,,True
mid_ret_3,60,60,0.0,0.0,0.0,,,1800.0,1.0,,False
obi_mean_3,60,60,-0.018569402688625346,0.012960371111843668,-0.031529773800469015,-0.7474676719620894,0.45627933528280784,1670.0,0.4966952428690169,-0.13646830164650273,False
obi_change_3,60,60,0.04739971464456349,0.025541339974583098,0.02185837466998039,0.3086608873695002,0.7581276105886009,1852.0,0.7869256969277942,0.05635351021061223,False
microprice_dev_mean_3,60,60,-0.00928470134430326,0.006480185555933025,-0.015764886900236287,-0.7474676719621537,0.4562793352827691,1670.0,0.4966952428690169,-0.13646830164651444,False
volatility_3,60,60,0.0,0.0,0.0,,,1800.0,1.0,,False
update_speed_3,60,60,6.0,6.0,0.0,,,1800.0,1.0,,False
volume_delta_5,60,60,4.0,2.0,2.0,inf,0.0,3600.0,1.0827834312358077e-27,,True
turnover_delta_5,60,60,9202.0,4601.0,4601.0,inf,0.0,3600.0,1.0827834312358077e-27,,True
mid_ret_5,60,60,0.0,0.0,0.0,,,1800.0,1.0,,False
obi_mean_5,60,60,-0.017168216250738784,0.005144875151090927,-0.022313091401829712,-0.5991323490534741,0.5502510822071286,1700.0,0.6015035440070888,-0.10938610083588224,False
obi_change_5,60,60,-0.02280583707095391,0.030563699812236087,-0.053369536883189996,-0.7554526790532486,0.45150072677262587,1700.0,0.6015035440070888,-0.13792615781505826,False
microprice_dev_mean_5,60,60,-0.00858410812536325,0.002572437575554432,-0.011156545700917682,-0.5991323490535805,0.550251082207058,1700.0,0.6015035440070888,-0.10938610083590167,False
volatility_5,60,60,0.0,0.0,0.0,,,1800.0,1.0,,False
update_speed_5,60,60,5.0,5.0,0.0,,,1800.0,1.0,,False
