state,n,p_up,p_down,p_none
NO_MOVE,799,0.07509386733416772,0.07509386733416772,0.8498122653316645
BOUNCE_UP,180,0.0,0.0,1.0
BOUNCE_DOWN,120,0.0,0.0,1.0
QUOTE_UP,60,0.0,0.0,1.0
QUOTE_DOWN,60,0.0,0.0,1.0
NO_MOVE,799,0.07509386733416772,0.07509386733416772,0.8498122653316645
BOUNCE_UP,180,0.3333333333333333,0.3333333333333333,0.3333333333333333
BOUNCE_DOWN,120,0.0,0.0,1.0
QUOTE_UP,60,0.0,0.0,1.0
QUOTE_DOWN,60,0.0,0.0,1.0
NO_MOVE,799,0.15018773466833543,0.15018773466833543,0.6996245306633292
BOUNCE_UP,180,0.3333333333333333,0.3333333333333333,0.3333333333333333
BOUNCE_DOWN,120,0.0,0.0,1.0
QUOTE_UP,60,0.0,0.0,1.0
QUOTE_DOWN,60,0.0,0.0,1.0
NO_MOVE,799,0.22528160200250313,0.22528160200250313,0.5494367959949937
BOUNCE_UP,180,0.3333333333333333,0.3333333333333333,0.3333333333333333
BOUNCE_DOWN,120,0.5,0.5,0.0
QUOTE_UP,60,0.0,0.0,1.0
QUOTE_DOWN,60,0.0,0.0,1.0
