obi_bucket,horizon,n,p_up,p_down,p_none,p_up_minus_p_down
"[-1.0,-0.8)",1,0,,,,
"[-0.8,-0.6)",1,24,0.125,0.041666666666666664,0.8333333333333334,0.08333333333333333
"[-0.6,-0.4)",1,114,0.02631578947368421,0.02631578947368421,0.9473684210526315,0.0
"[-0.4,-0.2)",1,232,0.03879310344827586,0.034482758620689655,0.9267241379310345,0.004310344827586207
"[-0.2,0.0)",1,294,0.05442176870748299,0.061224489795918366,0.8843537414965986,-0.006802721088435374
"[0.0,0.2)",1,258,0.03875968992248062,0.046511627906976744,0.9147286821705426,-0.007751937984496124
"[0.2,0.4)",1,206,0.07281553398058252,0.06310679611650485,0.8640776699029126,0.009708737864077669
"[0.4,0.6)",1,92,0.043478260869565216,0.043478260869565216,0.9130434782608695,0.0
"[0.6,0.8)",1,20,0.0,0.05,0.95,-0.05
"[0.8,1.0]",1,0,,,,
"[-1.0,-0.8)",2,0,,,,
"[-0.8,-0.6)",2,24,0.25,0.08333333333333333,0.6666666666666666,0.16666666666666666
"[-0.6,-0.4)",2,114,0.05263157894736842,0.05263157894736842,0.8947368421052632,0.0
"[-0.4,-0.2)",2,232,0.07758620689655173,0.06896551724137931,0.853448275862069,0.008620689655172414
"[-0.2,0.0)",2,294,0.10884353741496598,0.12244897959183673,0.7687074829931972,-0.013605442176870748
"[0.0,0.2)",2,258,0.07751937984496124,0.09302325581395349,0.8294573643410853,-0.015503875968992248
"[0.2,0.4)",2,206,0.14563106796116504,0.1262135922330097,0.7281553398058253,0.019417475728155338
"[0.4,0.6)",2,92,0.08695652173913043,0.08695652173913043,0.8260869565217391,0.0
"[0.6,0.8)",2,20,0.0,0.1,0.9,-0.1
"[0.8,1.0]",2,0,,,,
"[-1.0,-0.8)",3,0,,,,
"[-0.8,-0.6)",3,24,0.4166666666666667,0.08333333333333333,0.5,0.3333333333333333
"[-0.6,-0.4)",3,114,0.10526315789473684,0.10526315789473684,0.7894736842105263,0.0
"[-0.4,-0.2)",3,232,0.10775862068965517,0.10775862068965517,0.7844827586206896,0.0
"[-0.2,0.0)",3,294,0.16326530612244897,0.17006802721088435,0.6666666666666666,-0.006802721088435374
"[0.0,0.2)",3,258,0.12790697674418605,0.1511627906976744,0.7209302325581395,-0.023255813953488372
"[0.2,0.4)",3,206,0.18446601941747573,0.18932038834951456,0.6262135922330098,-0.0048543689320388345
"[0.4,0.6)",3,92,0.14130434782608695,0.10869565217391304,0.75,0.03260869565217391
"[0.6,0.8)",3,20,0.05,0.15,0.8,-0.1
"[0.8,1.0]",3,0,,,,
"[-1.0,-0.8)",5,0,,,,
"[-0.8,-0.6)",5,24,0.5833333333333334,0.16666666666666666,0.25,0.4166666666666667
"[-0.6,-0.4)",5,114,0.22807017543859648,0.19298245614035087,0.5789473684210527,0.03508771929824561
"[-0.4,-0.2)",5,232,0.1810344827586207,0.1896551724137931,0.6293103448275862,-0.008620689655172414
"[-0.2,0.0)",5,294,0.2585034013605442,0.272108843537415,0.46938775510204084,-0.013605442176870748
"[0.0,0.2)",5,258,0.2248062015503876,0.26356589147286824,0.5116279069767442,-0.03875968992248062
"[0.2,0.4)",5,206,0.25728155339805825,0.28640776699029125,0.4563106796116505,-0.02912621359223301
"[0.4,0.6)",5,92,0.29347826086956524,0.18478260869565216,0.5217391304347826,0.10869565217391304
"[0.6,0.8)",5,20,0.2,0.3,0.5,-0.1
"[0.8,1.0]",5,0,,,,
